order_id,customer_id,n_items,total_cost,order_time,completion_time,duration_min,duration_group,hot_dish_presence,ice_cream_presence,latitude,longitude,distance_km,zone
10000,60,2,4.7,2023-06-25 18:12:00,2023-06-25 18:40:00,28.0,B1,False,True,69.35590988757396,88.1940362813787,4.81,B
10003,130,1,4.09,2023-08-29 18:48:00,2023-08-29 19:09:00,21.0,A,False,False,69.28345694874852,88.2046822570617,8.05,B
10005,22,7,48.72,2023-07-29 10:21:00,2023-07-29 10:48:00,27.0,B1,True,False,69.35866660234016,88.16387044129019,2.91,A
10009,363,1,5.85,2023-07-30 09:06:00,2023-07-30 09:42:00,36.0,B2,False,False,69.32352105551603,88.08945884872537,8.36,B
10011,371,8,40.56,2023-06-15 18:48:00,2023-06-15 19:32:00,44.0,B4,False,False,69.34499951050678,88.10554715628302,6.48,B
10016,464,6,0.24,2023-07-16 16:08:00,2023-07-16 16:43:00,35.0,B2,False,True,69.38430581790719,88.17201807392357,6.07,B
10018,50,6,25.380000000000003,2023-08-07 12:36:00,2023-08-07 13:26:00,50.0,B4,False,False,69.29245307648009,88.17219641340813,5.18,B
10019,256,6,44.04,2023-07-14 14:42:00,2023-07-14 15:44:00,62.0,B5,True,False,69.28059718728265,88.10570998052442,8.98,C
10020,421,8,23.52,2023-08-23 13:29:00,2023-08-23 14:04:00,35.0,B2,True,False,69.34649347793791,88.21406038002927,6.6,B
10021,480,5,36.3,2023-06-18 16:07:00,2023-06-18 16:42:00,35.0,B2,False,False,69.29811179445558,88.1345193848999,5.2,B
10028,485,12,79.44,2023-07-19 12:12:00,2023-07-19 13:07:00,55.0,B5,False,False,69.42604054908855,88.09137874591438,13.47,D
10030,436,8,22.0,2023-08-20 18:09:00,2023-08-20 18:45:00,36.0,B2,False,False,69.34332525905765,88.17059417787077,1.69,A
10031,106,3,15.330000000000002,2023-06-08 12:23:00,2023-06-08 13:17:00,54.0,B5,True,False,69.25170729023124,88.13028642693,10.35,C
10034,425,5,21.299999999999997,2023-07-08 18:37:00,2023-07-08 19:31:00,54.0,B5,True,False,69.29296551929001,88.08422303900589,10.14,C
10035,117,13,68.12,2023-07-23 19:22:00,2023-07-23 20:16:00,54.0,B5,True,False,69.35652276892772,88.11269198940148,6.1,B
10036,213,10,66.3,2023-07-28 15:18:00,2023-07-28 15:47:00,29.0,B1,False,True,69.33230075645248,88.21101626664098,6.09,B
10037,478,3,21.450000000000003,2023-08-18 10:01:00,2023-08-18 10:30:00,29.0,B1,True,False,69.30086274548536,88.19004156635495,5.36,B
10038,388,1,4.54,2023-08-23 14:50:00,2023-08-23 15:02:00,12.0,A,False,True,69.34919727021466,88.1465632672876,2.31,A
10039,31,5,19.9,2023-08-20 14:41:00,2023-08-20 15:24:00,43.0,B3,False,False,69.40169646662297,88.19470155970566,8.97,C
10041,332,4,33.16,2023-08-27 19:47:00,2023-08-27 20:17:00,30.0,B1,False,False,69.3380496331812,88.12570107823414,4.01,A
10042,39,3,13.830000000000002,2023-07-28 20:00:00,2023-07-28 20:39:00,39.0,B3,False,False,69.30390397110449,88.13020570167606,4.99,B
10044,117,2,6.24,2023-07-25 19:08:00,2023-07-25 19:39:00,31.0,B1,False,False,69.35652276892772,88.11269198940148,6.1,B
10046,344,2,14.06,2023-06-05 13:25:00,2023-06-05 14:03:00,38.0,B3,False,False,69.2712611316315,88.16810006537648,7.53,B
10048,190,8,33.68,2023-08-18 11:06:00,2023-08-18 11:51:00,45.0,B4,False,False,69.4019740528076,88.16417503064102,7.99,B
10050,288,2,9.58,2023-06-20 13:17:00,2023-06-20 13:40:00,23.0,A,False,True,69.34963374396636,88.22962309375849,8.48,B
10051,347,3,12.39,2023-07-08 17:52:00,2023-07-08 18:35:00,43.0,B3,True,False,69.39022950891797,88.25843740227099,13.42,D
10057,195,5,17.2,2023-07-28 14:54:00,2023-07-28 15:24:00,30.0,B1,True,False,69.30847376121277,88.14790236681796,3.35,A
10060,332,1,2.05,2023-08-18 16:34:00,2023-08-18 17:11:00,37.0,B2,True,False,69.3380496331812,88.12570107823414,4.01,A
10063,249,3,6.87,2023-08-23 10:58:00,2023-08-23 11:55:00,57.0,B5,False,False,69.28956100475398,88.11662387633625,7.32,B
10064,76,3,18.27,2023-07-06 12:37:00,2023-07-06 13:08:00,31.0,B1,True,False,69.34370058663025,88.18127728997658,2.8,A
10065,416,3,11.58,2023-07-19 16:12:00,2023-07-19 16:42:00,30.0,B1,True,False,69.36941171370036,88.1390417291821,4.78,B
10067,403,2,3.58,2023-06-13 19:58:00,2023-06-13 20:24:00,26.0,B1,False,True,69.38012739615773,88.08355448854454,10.46,C
10068,155,2,3.42,2023-06-22 17:33:00,2023-06-22 18:24:00,51.0,B4,True,False,69.29548097457715,88.0699644550463,11.52,C
10070,132,5,21.200000000000003,2023-06-06 13:46:00,2023-06-06 14:39:00,53.0,B5,False,True,69.42534939015604,88.16347124625482,10.74,C
10074,338,5,24.700000000000003,2023-08-21 10:37:00,2023-08-21 11:33:00,56.0,B5,False,True,69.36480064297861,88.2283675314605,8.89,C
10078,100,4,27.08,2023-08-01 17:05:00,2023-08-01 17:58:00,53.0,B5,True,False,69.21455971535111,88.19706417435405,14.83,D
10080,1,6,39.599999999999994,2023-06-07 10:12:00,2023-06-07 10:32:00,20.0,A,False,True,69.35255725541688,88.17921531295882,3.17,A
10082,273,15,42.0,2023-06-24 17:50:00,2023-06-24 18:32:00,42.0,B3,False,False,69.22915333472017,88.07358427025576,16.04,D
10084,100,3,15.54,2023-06-23 14:40:00,2023-06-23 15:52:00,72.0,C,False,True,69.21455971535111,88.19706417435405,14.83,D
10085,344,1,2.84,2023-06-07 11:59:00,2023-06-07 12:39:00,40.0,B3,False,True,69.2712611316315,88.16810006537648,7.53,B
10086,359,6,23.22,2023-07-04 12:05:00,2023-07-04 13:13:00,68.0,C,False,False,69.33628215633253,88.26378936541556,12.32,C
10090,47,9,38.79,2023-06-02 16:34:00,2023-06-02 17:26:00,52.0,B5,False,False,69.28593757722092,88.1443560351214,5.99,B
10093,316,10,36.3,2023-08-24 16:32:00,2023-08-24 17:19:00,47.0,B4,True,False,69.35309366251633,88.12559550030572,4.56,A
10094,494,2,5.72,2023-07-23 09:52:00,2023-07-23 10:17:00,25.0,A,True,False,69.33438523443844,88.24382074479546,9.96,C
10096,489,1,2.54,2023-08-18 11:51:00,2023-08-18 12:16:00,25.0,A,False,False,69.39221185427239,88.13983731493292,7.2,B
10097,127,2,11.76,2023-06-23 18:58:00,2023-06-23 19:17:00,19.0,A,False,False,69.32546329225784,88.17969550944711,2.61,A
10100,112,6,22.86,2023-08-09 09:52:00,2023-08-09 10:53:00,61.0,B5,False,False,69.38061641624175,88.05794750139977,13.16,D
10101,239,10,64.7,2023-06-11 11:13:00,2023-06-11 11:50:00,37.0,B2,False,False,69.36643070340772,88.1335403676904,4.86,B
10103,340,4,25.16,2023-07-21 17:07:00,2023-07-21 17:52:00,45.0,B4,True,False,69.35774054214448,88.26760735177264,13.06,D
10105,362,7,50.330000000000005,2023-08-06 12:54:00,2023-08-06 13:52:00,58.0,B5,True,False,69.28640295172184,88.19588459420892,7.12,B
